np1;np2;np3;np4;ns1;ns2;ns3;ns4;ni1;ni2;ni3;ni4;nh1;nh2;nh3;nh4;series;cost
2;2;2;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999993320000904;60.0
2;2;2;0;4;4;2;0;4;4;3;0;4;4;3;0;0.999999397300059;62.0
2;2;2;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999995196000003;62.0
2;2;2;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999995197000002;64.0
2;2;2;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999989669002657;58.0
2;2;2;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999993119001;59.0
2;2;2;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999985608004608;57.0
2;2;2;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999993507000814;61.0
2;2;2;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999990036002482;59.0
2;2;2;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999995195000003;61.0
4;3;1;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999998116000001;65.0
4;3;1;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999995185000553;61.0
4;3;1;0;3;3;0;0;4;4;3;0;4;4;3;0;0.99999922790011;58.0
4;3;1;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999996772000254;62.0
4;3;1;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999994060000764;59.0
4;3;1;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999995319000528;62.0
4;3;1;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999996834000243;63.0
4;3;1;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999995683000459;60.0
4;3;1;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999993320000904;60.0
4;3;1;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999996240000354;62.0
4;3;1;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999996893000231;64.0
4;3;1;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999998116000001;64.0
4;3;1;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999998117000001;66.0
4;3;1;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999992589001041;60.0
4;3;1;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999996039000392;61.0
4;3;1;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999988528001806;59.0
4;3;1;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999996427000319;63.0
